time	track	channel	bar	pitch	volume	instrument
636	2	9	-687194763	38	80	-687194763
636	2	9	-687194763	38	0	-687194763
640	1	2	-1717986914	60	72	-1717986914
640	1	2	-1717986914	55	0	-1717986914
640	2	9	-1717986914	35	80	-1717986914
640	2	9	-1717986914	42	80	-1717986914
640	2	9	-1717986914	38	0	-1717986914
640	3	4	-1717986914	60	72	-1717986914
640	4	6	-1717986914	32	72	-1717986914
640	4	6	-1717986914	41	0	-1717986914
648	1	2	515396080	60	0	515396080
648	1	2	515396080	56	72	515396080
648	2	9	515396080	42	80	515396080
648	2	9	515396080	42	0	515396080
648	2	9	515396080	35	0	515396080
656	1	2	-1546188222	63	80	-1546188222
656	1	2	-1546188222	56	0	-1546188222
656	2	9	-1546188222	42	0	-1546188222
656	2	9	-1546188222	42	80	-1546188222
656	2	9	-1546188222	38	80	-1546188222
656	3	4	-1546188222	60	72	-1546188222
656	3	4	-1546188222	60	0	-1546188222
664	1	2	687194772	63	0	687194772
664	1	2	687194772	56	80	687194772
664	2	9	687194772	38	0	687194772
664	2	9	687194772	35	80	687194772
664	2	9	687194772	42	80	687194772
664	2	9	687194772	42	0	687194772
664	3	4	687194772	60	0	687194772
664	3	4	687194772	60	72	687194772
668	2	9	-343597379	42	0	-343597379
668	2	9	-343597379	35	0	-343597379
668	2	9	-343597379	35	80	-343597379
672	1	2	-1374389530	56	0	-1374389530
672	1	2	-1374389530	58	80	-1374389530
672	2	9	-1374389530	35	0	-1374389530
672	2	9	-1374389530	42	80	-1374389530
672	3	4	-1374389530	61	72	-1374389530
672	3	4	-1374389530	60	0	-1374389530
672	4	6	-1374389530	32	0	-1374389530
672	4	6	-1374389530	39	72	-1374389530
676	2	9	1889785615	38	80	1889785615
676	2	9	1889785615	42	0	1889785615
676	3	4	1889785615	60	72	1889785615
676	3	4	1889785615	61	0	1889785615
680	1	2	858993464	51	80	858993464
680	1	2	858993464	58	0	858993464
680	2	9	858993464	35	80	858993464
680	2	9	858993464	42	80	858993464
680	2	9	858993464	38	0	858993464
680	3	4	858993464	60	0	858993464
688	1	2	-1202590838	63	80	-1202590838
688	1	2	-1202590838	51	0	-1202590838
688	2	9	-1202590838	35	0	-1202590838
688	2	9	-1202590838	42	80	-1202590838
