time:29164	pitch:43	volume:0	bar:24	beat:74
time:29164	pitch:72	volume:96	bar:24	beat:74
time:29164	pitch:71	volume:0	bar:24	beat:74
time:29358	pitch:55	volume:120	bar:25	beat:75
time:29552	pitch:75	volume:120	bar:25	beat:75
time:29552	pitch:63	volume:120	bar:25	beat:75
time:29552	pitch:75	volume:0	bar:25	beat:75
time:29746	pitch:75	volume:0	bar:25	beat:76
time:29746	pitch:77	volume:120	bar:25	beat:76
time:29940	pitch:77	volume:0	bar:25	beat:76
time:29940	pitch:79	volume:120	bar:25	beat:76
time:30134	pitch:55	volume:0	bar:25	beat:77
time:30328	pitch:79	volume:0	bar:25	beat:77
time:30328	pitch:74	volume:120	bar:25	beat:77
time:30328	pitch:48	volume:0	bar:25	beat:77
time:30328	pitch:63	volume:0	bar:25	beat:77
time:30328	pitch:46	volume:120	bar:25	beat:77
time:30328	pitch:48	volume:0	bar:25	beat:77
time:30328	pitch:46	volume:125	bar:25	beat:77
time:30328	pitch:74	volume:96	bar:25	beat:77
time:30328	pitch:72	volume:0	bar:25	beat:77
time:30522	pitch:53	volume:120	bar:26	beat:78
time:30716	pitch:74	volume:0	bar:26	beat:78
time:30716	pitch:62	volume:120	bar:26	beat:78
time:30716	pitch:82	volume:120	bar:26	beat:78
time:31300	pitch:53	volume:0	bar:26	beat:80
time:31494	pitch:82	volume:0	bar:26	beat:80
time:31494	pitch:72	volume:120	bar:26	beat:80
time:31494	pitch:46	volume:0	bar:26	beat:80
time:31494	pitch:62	volume:0	bar:26	beat:80
time:31494	pitch:44	volume:120	bar:26	beat:80
time:31494	pitch:46	volume:0	bar:26	beat:80
time:31494	pitch:44	volume:125	bar:26	beat:80
time:31494	pitch:74	volume:0	bar:26	beat:80
time:31494	pitch:75	volume:96	bar:26	beat:80
time:31688	pitch:51	volume:120	bar:27	beat:81
time:31882	pitch:72	volume:120	bar:27	beat:81
time:31882	pitch:60	volume:120	bar:27	beat:81
time:31882	pitch:72	volume:0	bar:27	beat:81
time:32076	pitch:74	volume:120	bar:27	beat:82
time:32076	pitch:72	volume:0	bar:27	beat:82
time:32270	pitch:74	volume:0	bar:27	beat:82
time:32270	pitch:75	volume:120	bar:27	beat:82
time:32270	pitch:79	volume:96	bar:27	beat:82
time:32270	pitch:75	volume:0	bar:27	beat:82
time:32464	pitch:51	volume:0	bar:27	beat:83
time:32658	pitch:44	volume:0	bar:27	beat:83
time:32658	pitch:82	volume:96	bar:27	beat:83
time:32658	pitch:79	volume:0	bar:27	beat:83
time:32658	pitch:44	volume:0	bar:27	beat:83
time:32658	pitch:43	volume:125	bar:27	beat:83
time:32658	pitch:60	volume:0	bar:27	beat:83
time:32658	pitch:43	volume:120	bar:27	beat:83
time:32658	pitch:70	volume:120	bar:27	beat:83
time:32658	pitch:75	volume:0	bar:27	beat:83
time:32852	pitch:50	volume:120	bar:28	beat:84
time:33046	pitch:70	volume:0	bar:28	beat:84
time:33046	pitch:79	volume:120	bar:28	beat:84
time:33046	pitch:58	volume:120	bar:28	beat:84
