time	track	channel	bar	pitch	volume	bar	instrument
1299	0	4	20	65	71	20	0
1299	0	4	20	62	71	20	0
1299	0	4	20	70	71	20	0
1299	0	9	20	40	95	20	0
1307	0	1	20	53	95	20	0
1307	0	9	20	40	95	20	0
1307	0	9	20	69	95	20	0
1307	0	4	20	58	71	20	0
1307	0	4	20	53	71	20	0
1307	0	4	20	46	71	20	0
1307	0	4	20	65	71	20	0
1307	0	11	20	53	54	20	0
1307	0	11	20	41	54	20	0
1307	0	1	20	60	95	20	0
1307	0	1	20	46	95	20	0
1311	0	1	20	69	95	20	0
1311	0	9	20	69	95	20	0
1311	0	9	20	40	95	20	0
1311	0	4	20	69	71	20	0
1315	0	6	20	65	64	20	0
1315	0	9	20	36	95	20	0
1315	0	1	20	67	95	20	0
1315	0	11	20	48	54	20	0
1315	0	9	20	38	95	20	0
1315	0	2	20	65	111	20	0
1315	0	11	20	36	54	20	0
1315	0	4	20	67	71	20	0
1315	0	6	20	53	64	20	0
1315	0	1	20	53	95	20	0
1319	0	1	20	69	95	20	0
1319	0	4	20	69	71	20	0
1323	0	9	20	35	95	20	0
1323	0	1	20	40	95	20	0
1323	0	2	20	67	111	20	0
1323	0	1	20	48	95	20	0
1323	0	1	20	67	95	20	0
1323	0	9	20	41	95	20	0
1323	0	9	20	36	95	20	0
1323	0	4	20	67	71	20	0
1323	0	4	20	60	71	20	0
1323	0	1	20	60	95	20	0
1327	0	1	20	65	95	20	0
1327	0	4	20	65	71	20	0
1331	0	9	20	69	95	20	0
1331	0	1	20	60	95	20	0
1331	0	9	20	40	95	20	0
1331	0	4	20	60	71	20	0
1331	0	2	20	65	111	20	0
1335	0	9	20	69	95	20	0
1335	0	1	20	57	95	20	0
1335	0	9	20	40	95	20	0
1335	0	4	20	57	71	20	0
1338	0	9	20	55	95	20	0
1338	0	9	20	36	95	20	0
1338	0	9	20	35	95	20	0
1338	0	9	20	41	95	20	0
1338	0	9	20	57	95	20	0
1338	0	6	20	56	64	20	0
1338	0	4	20	60	71	20	0
1338	0	4	20	48	71	20	0
1338	0	11	20	56	54	20	0
1338	0	11	20	44	54	20	0
1338	0	1	20	48	95	20	0
1338	0	1	20	72	95	20	0
1338	0	2	20	68	111	20	0
1346	0	4	20	55	71	20	0
1346	0	4	20	60	71	20	0
1346	0	2	20	67	111	20	0
1346	0	1	20	55	95	20	0
1346	0	1	20	72	95	20	0
1346	0	4	20	67	71	20	0
1346	0	4	20	64	71	20	0
1354	0	4	21	67	71	21	0
1354	0	1	21	72	95	21	0
1354	0	1	21	60	95	21	0
1354	0	2	21	65	111	21	0
1354	0	9	21	40	95	21	0
1354	0	9	21	69	95	21	0
1354	0	9	21	55	95	21	0
1354	0	4	21	64	71	21	0
1354	0	4	21	60	71	21	0
1354	0	4	21	72	71	21	0
1362	0	4	21	60	71	21	0
1362	0	1	21	72	95	21	0
1362	0	1	21	55	95	21	0
1362	0	2	21	67	111	21	0
1362	0	4	21	64	71	21	0
1362	0	4	21	55	71	21	0
1362	0	4	21	67	71	21	0
1370	0	9	21	41	95	21	0
1370	0	9	21	35	95	21	0
1370	0	9	21	55	95	21	0
1370	0	4	21	64	71	21	0
1370	0	4	21	67	71	21	0
1370	0	4	21	72	71	21	0
1370	0	4	21	76	71	21	0
1370	0	11	21	41	54	21	0
1370	0	11	21	53	54	21	0
1370	0	9	21	36	95	21	0
1370	0	1	21	64	95	21	0
1378	0	11	21	53	54	21	0
1378	0	11	21	41	54	21	0
1378	0	2	21	65	111	21	0
1378	0	4	21	67	71	21	0
1378	0	4	21	55	71	21	0
1378	0	4	21	60	71	21	0
1378	0	4	21	64	71	21	0
1378	0	6	21	65	64	21	0
1378	0	6	21	53	64	21	0
1378	0	9	21	41	95	21	0
1378	0	1	21	55	95	21	0
1386	0	4	21	72	71	21	0
1386	0	2	21	67	111	21	0
1386	0	1	21	60	95	21	0
1386	0	9	21	69	95	21	0
1386	0	9	21	40	95	21	0
1386	0	4	21	67	71	21	0
1386	0	1	21	72	95	21	0
1386	0	4	21	60	71	21	0
1386	0	9	21	55	95	21	0
1394	0	4	21	55	71	21	0
1394	0	1	21	55	95	21	0
1394	0	2	21	65	111	21	0
1394	0	4	21	64	71	21	0
1394	0	4	21	60	71	21	0
1394	0	4	21	67	71	21	0
1402	0	1	21	46	95	21	0
1402	0	1	21	72	95	21	0
1402	0	11	21	44	54	21	0
1402	0	11	21	56	54	21	0
1402	0	4	21	46	71	21	0
1402	0	4	21	58	71	21	0
1402	0	6	21	56	64	21	0
1402	0	9	21	36	95	21	0
1402	0	9	21	35	95	21	0
1402	0	9	21	55	95	21	0
1402	0	9	21	41	95	21	0
1402	0	2	21	68	111	21	0
1402	0	9	21	57	95	21	0
1410	0	4	21	65	71	21	0
1410	0	4	21	53	71	21	0
1410	0	4	21	58	71	21	0
1410	0	4	21	62	71	21	0
1410	0	2	21	67	111	21	0
1410	0	1	21	53	95	21	0
1410	0	1	21	72	95	21	0
1418	0	4	22	65	71	22	0
1418	0	1	22	72	95	22	0
1418	0	1	22	58	95	22	0
1418	0	2	22	65	111	22	0
1418	0	9	22	55	95	22	0
1418	0	9	22	69	95	22	0
1418	0	9	22	40	95	22	0
