time	track	channel	pitch	volume	instrument
479	2	4	67	0	4
480	1	1	62	0	39
480	1	1	67	0	39
480	1	1	62	80	39
480	1	1	66	80	39
480	2	4	57	0	4
480	2	4	62	0	4
480	2	4	57	53	4
480	2	4	62	53	4
480	2	4	69	56	4
480	4	6	62	0	48
480	4	6	67	0	48
480	4	6	69	0	48
480	4	6	62	44	48
480	4	6	66	44	48
480	4	6	69	48	48
480	5	7	38	65	35
480	6	9	51	72	0
482	6	9	51	72	0
482	6	9	51	0	0
484	6	9	51	0	0
487	2	4	69	0	4
488	2	4	66	39	4
492	3	5	57	53	25
495	2	4	66	0	4
496	2	4	69	56	4
496	3	5	66	68	25
496	3	5	62	62	25
503	3	5	57	0	25
503	2	4	69	0	4
503	3	5	66	0	25
503	3	5	62	0	25
504	2	4	66	45	4
505	4	6	66	0	48
505	4	6	69	0	48
505	4	6	62	0	48
506	5	7	38	0	35
509	2	4	57	0	4
510	2	4	62	0	4
511	2	4	66	0	4
511	1	1	62	0	39
511	1	1	66	0	39
512	1	1	67	80	39
512	2	4	53	56	4
512	5	7	41	68	35
512	6	9	35	72	0
512	6	9	49	72	0
512	7	1	67	80	39
520	2	4	60	53	4
520	4	6	57	51	48
520	6	9	49	0	0
520	6	9	42	72	0
524	1	1	65	80	39
524	1	1	67	0	39
524	7	1	65	80	39
524	7	1	67	0	39
528	1	1	65	0	39
528	7	1	65	0	39
528	1	1	67	80	39
528	2	4	65	53	4
528	4	6	60	51	48
528	6	9	35	0	0
528	6	9	42	0	0
528	6	9	38	72	0
528	6	9	42	72	0
528	7	1	67	80	39
534	2	4	53	0	4
535	4	6	57	0	48
536	2	4	69	56	4
536	4	6	65	56	48
536	6	9	42	72	0
536	6	9	38	0	0
536	6	9	42	0	0
538	5	7	41	0	35
540	1	1	67	0	39
540	7	1	67	0	39
540	1	1	65	80	39
540	7	1	65	80	39
543	4	6	60	0	48
543	2	4	69	0	4
544	1	1	67	80	39
544	1	1	65	0	39
544	7	1	65	0	39
544	7	1	67	80	39
544	2	4	72	56	4
544	4	6	69	51	48
544	5	7	41	65	35
544	6	9	42	0	0
544	6	9	42	72	0
551	4	6	65	0	48
551	2	4	72	0	4
552	1	1	67	0	39
552	7	1	67	0	39
552	1	1	69	80	39
552	2	4	69	39	4
552	6	9	42	72	0
552	6	9	35	72	0
552	6	9	42	0	0
552	7	1	69	80	39
556	3	5	60	53	25
559	4	6	69	0	48
559	2	4	69	0	4
560	1	1	69	0	39
560	7	1	69	0	39
560	1	1	72	80	39
560	2	4	72	56	4
560	3	5	65	62	25
560	3	5	69	68	25
560	6	9	42	72	0
560	6	9	38	72	0
560	6	9	42	0	0
560	6	9	35	0	0
560	7	1	72	80	39
567	3	5	60	0	25
567	2	4	72	0	4
567	3	5	65	0	25
567	3	5	69	0	25
568	1	1	72	0	39
568	7	1	72	0	39
568	1	1	69	80	39
568	2	4	69	45	4
568	6	9	42	0	0
568	6	9	38	0	0
568	6	9	42	72	0
568	7	1	69	80	39
570	5	7	41	0	35
572	1	1	69	0	39
572	7	1	69	0	39
572	1	1	67	80	39
572	7	1	67	80	39
573	2	4	60	0	4
574	2	4	65	0	4
575	2	4	69	0	4
576	1	1	67	0	39
576	7	1	67	0	39
576	1	1	67	80	39
576	2	4	48	56	4
576	5	7	36	68	35
576	6	9	42	0	0
576	6	9	35	72	0
576	6	9	42	72	0
576	7	1	67	80	39
584	2	4	55	53	4
584	4	6	52	51	48
584	6	9	42	72	0
584	6	9	42	0	0
588	1	1	67	0	39
588	7	1	67	0	39
588	1	1	65	80	39
588	7	1	65	80	39
592	1	1	65	0	39
592	7	1	65	0	39
592	1	1	67	80	39
592	2	4	60	53	4
592	4	6	55	53	48
592	6	9	35	0	0
592	6	9	42	0	0
592	6	9	38	72	0
592	6	9	42	72	0
592	7	1	67	80	39
598	2	4	48	0	4
599	4	6	52	0	48
600	2	4	64	56	4
600	4	6	60	51	48
600	6	9	38	0	0
600	6	9	42	72	0
600	6	9	42	0	0
602	5	7	36	0	35
604	1	1	67	0	39
604	7	1	67	0	39
604	1	1	65	80	39
604	7	1	65	80	39
607	4	6	55	0	48
607	2	4	64	0	4
608	1	1	65	0	39
608	7	1	65	0	39
608	1	1	67	80	39
608	2	4	67	56	4
608	5	7	36	68	35
608	6	9	42	72	0
608	6	9	42	0	0
608	7	1	67	80	39
612	1	1	67	0	39
612	7	1	67	0	39
612	1	1	69	80	39
612	7	1	69	80	39
615	4	6	60	0	48
615	2	4	67	0	4
616	1	1	69	0	39
616	7	1	69	0	39
616	1	1	67	80	39
616	2	4	64	39	4
616	6	9	42	72	0
616	6	9	42	0	0
616	6	9	35	72	0
616	7	1	67	80	39
620	1	1	67	0	39
620	7	1	67	0	39
620	1	1	65	80	39
620	3	5	55	53	25
620	4	6	55	45	48
620	7	1	65	80	39
623	2	4	64	0	4
624	1	1	65	0	39
624	7	1	65	0	39
624	1	1	60	80	39
624	2	4	67	56	4
624	3	5	60	62	25
624	3	5	64	68	25
624	4	6	60	59	48
624	6	9	42	0	0
624	6	9	42	72	0
624	6	9	38	72	0
624	6	9	35	0	0
624	7	1	60	80	39
631	3	5	55	0	25
631	4	6	55	0	48
631	2	4	67	0	4
631	3	5	60	0	25
631	3	5	64	0	25
631	4	6	60	0	48
632	2	4	64	45	4
632	6	9	42	0	0
632	6	9	38	0	0
632	6	9	42	72	0
634	5	7	36	0	35
637	2	4	55	0	4
638	2	4	60	0	4
